,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
rf,Random Forest Classifier,0.693,0.2368,0.3521,0.6708,0.6757,0.3771,0.3805,0.064
gbc,Gradient Boosting Classifier,0.6919,0.2394,0.3471,0.6755,0.6759,0.3792,0.3823,0.209
et,Extra Trees Classifier,0.6913,0.2374,0.3515,0.6724,0.6758,0.3796,0.3823,0.051
ridge,Ridge Classifier,0.6882,0.0,0.3134,0.6284,0.6467,0.3221,0.3428,0.003
lightgbm,Light Gradient Boosting Machine,0.6862,0.239,0.3466,0.6662,0.6729,0.3724,0.3748,0.054
lda,Linear Discriminant Analysis,0.6845,0.235,0.3209,0.6507,0.656,0.3356,0.3471,0.004
lr,Logistic Regression,0.6477,0.2187,0.2824,0.5854,0.5908,0.2041,0.2346,0.439
nb,Naive Bayes,0.6443,0.2346,0.4047,0.6844,0.6554,0.3618,0.3701,0.003
qda,Quadratic Discriminant Analysis,0.6341,0.2335,0.4173,0.6753,0.6441,0.3446,0.3542,0.004
ada,Ada Boost Classifier,0.6083,0.159,0.3101,0.6313,0.6046,0.2845,0.2985,0.024
dt,Decision Tree Classifier,0.6029,0.1875,0.3309,0.6019,0.6015,0.2388,0.2395,0.004
knn,K Neighbors Classifier,0.5869,0.2044,0.294,0.5728,0.5787,0.1901,0.1908,0.216
svm,SVM - Linear Kernel,0.5416,0.0,0.2731,0.5479,0.4819,0.0881,0.1102,0.009
